rider_name,rider_city,place,score,purse,statistic based divisions
Sherrie Jones,Morro Bay,1D - 1st,16.703,"$1,139.00 ",1D - 1st
Shelley Holman,Brentwood,1D - 2nd,16.705,$959.00 ,1D - 2nd
Skylar Alves,Camarillo,1D - 3rd,16.72,$839.00 ,1D - 3rd
Kristi Youngblood,Paso Robles ,1D - 4th,16.755,$600.00 ,1D - 4th
Hayle Gibson,Redcrest,1D - 5th,16.756,$450.00 ,
Kristi Youngblood,Paso Robles ,1D - 6th,16.793,$360.00 ,
Kelsey Hayden,Hanford ,1D - 7th,16.823,$300.00 ,
Payton Bladow,Yorba Linda,1D - 8th,16.857,$270.00 ,
Kaiden Ayres,WOODLAKE,1D - 9th,16.87,$240.00 ,
Alex Simpson,Clovis,1D - 10th,16.874,$210.00 ,
Kristi Youngblood,Paso Robles ,1D - 11th,16.893,$180.00 ,
Taylor Rogers,Tulare,1D - 12th,16.931,$162.00 ,
Ellie Hilvers,Exeter,1D - 13th,16.958,$150.00 ,
Kaiden Ayres,WOODLAKE,1D - 14th,16.973,$138.00 ,
Hayle Gibson,Redcrest,1D - 15th,16.987,,
Linda Day,PENNGROVE,1D - 16th,16.989,,
Jaime Hinton Anderson,Wittmann ,1D - 17th,16.991,,
Julie Ketscher,Exeter,1D - 18th,17.002,,
Emily Hannaford,Creston,1D - 18th,17.002,,
Lyndee Stairs,Hanford,1D - 20th,17.041,,
Jennifer moore,Chino ,1D - 21st,17.051,,
Syd Overmyer,Lemoore,1D - 22nd,17.069,,
Sharon Gow,Roseburg ,1D - 23rd,17.082,,
Jaime Hinton Anderson,Wittmann ,1D - 24th,17.099,,
Jenny Sherbo,Acampo,1D - 24th,17.099,,
Haley Longfield,Fernley,1D - 26th,17.11,,
Tammy Hoskins,San Juan Bautista,1D - 27th,17.113,,
Shelby Sullivan,Bakerfield,1D - 28th,17.117,,
Brooke Gilardone,Rosamond,1D - 29th,17.149,,
Lacey Robinson,Chowchilla,1D - 30th,17.165,,
Brooke Bingham,Fowler,1D - 31st,17.166,,
Lacey Solferino,Reno,1D - 32nd,17.172,,
Jan Reis,Knightsen,2D - 1st,17.211,"$1,002.00 ",
Sharon Gow,Roseburg ,2D - 2nd,17.233,$844.00 ,
Audrianna Lemons,Arroyo Grande,2D - 3rd,17.258,$739.00 ,
Tammy Lowe,Hemet,2D - 4th,17.273,$528.00 ,
Samantha Dewhurst,clements ,2D - 5th,17.286,$396.00 ,
Hayle Gibson,Redcrest,2D - 6th,17.291,$317.00 ,
Amy Freeman,Tehachapi,2D - 7th,17.295,$264.00 ,
Shelby Sullivan,Bakerfield,2D - 8th,17.297,$237.00 ,
Erin Ricotti,Escalon,2D - 9th,17.298,$211.00 ,
Rachel Magdaleno,Coarsgold,2D - 10th,17.307,$185.00 ,
Alex Simpson,Clovis,2D - 11th,17.321,$158.00 ,
Jennifer Wineman,Nipomo,2D - 12th,17.328,$142.00 ,
Betty Valencia,Tehachapi,2D - 13th,17.33,$132.00 ,
Samantha Dewhurst,clements ,2D - 14th,17.34,$121.00 ,
Christine Bennett,Acton ,2D - 15th,17.346,,
Jennifer Haile,Vernalis,2D - 16th,17.352,,
Claire Langham,Cool,2D - 17th,17.37,,
Susie Gunter,Cottonwood,2D - 18th,17.371,,
Lacey Lockard,"Atascadero, Ca",2D - 19th,17.375,,
Garland Burdock,Monmouth,2D - 20th,17.382,,2D - 1st
Danielle Klessens,San Luis Obispo,2D - 21st,17.407,,2D - 2nd
Erin Ricotti,Escalon,2D - 22nd,17.411,,2D - 3rd
Jessica Davis,Chowchilla,2D - 23rd,17.418,,2D - 4th
Brittany Moore,San Juan Bautista,2D - 24th,17.424,,
Jennifer Gilliam,Pine grove ,2D - 25th,17.427,,
Ava Aguilar,Camarillo ,2D - 26th,17.459,,
Jenny Sherbo,Acampo,2D - 27th,17.466,,
Tammy Lowe,Hemet,2D - 28th,17.499,,
Cathy Cooper,"Acton,",2D - 28th,17.499,,
Peytan Baeza,Porterville ,2D - 30th,17.501,,
Jennifer Gilliam,Pine grove ,2D - 31st,17.516,,
Jennifer Dyer,Atascadero ,2D - 31st,17.516,,
Suzanne Harmon,Reno,2D - 31st,17.516,,
Noel Cosca,Friant,2D - 34th,17.53,,
Lindsey Stornetta,Creston,2D - 35th,17.536,,
Shelley Holman,Brentwood,2D - 36th,17.552,,
Jene Mathis,Queen Creek,2D - 37th,17.554,,
Allie Matajcich,Palo Cedro,2D - 38th,17.571,,
Angelina Carrion,Esparto,2D - 39th,17.577,,
Mia Prichard,San Luis Obispo,2D - 40th,17.581,,
Teagan Quigley,Elk Grove ,2D - 41st,17.582,,
Jene Mathis,Queen Creek,2D - 42nd,17.583,,
Taylor Murray,Moorpark,2D - 43rd,17.589,,
Lori Meneses,Tulare ,2D - 44th,17.594,,
Susie Gunter,Cottonwood,2D - 44th,17.594,,
Naudia Gilliam,Pine Grove,2D - 46th,17.62,,
Cheryl Clower,Alpine,2D - 47th,17.625,,
David Lawson,Santa Rosa,2D - 48th,17.632,,
Jennifer Rosenberg,Temecula,2D - 49th,17.639,,
Gurnaaz Lakhan,Porterville ,2D - 50th,17.645,,
Rachel Gill,Cottonwood,2D - 51st,17.661,,
Brooke Bingham,Fowler,2D - 52nd,17.665,,
Jessica Jones,Lakeside,2D - 53rd,17.67,,
Makenna Kidd,Lowerlake,2D - 54th,17.675,,
Jenna Blake,CLOVIS,2D - 55th,17.683,,
Lily Vickery,Freedom,2D - 56th,17.687,,
Kelsey Hayden,Hanford ,2D - 57th,17.689,,
Karly Mann,Tehachapi,3D - 1st,17.707,$911.00 ,
Shelly Pelowski,O'Neals,3D - 2nd,17.71,$767.00 ,
Rayna Currin,Clements,3D - 3rd,17.712,$671.00 ,
Noel Cosca,Friant,3D - 4th,17.717,$480.00 ,
Kinslee Hatcher,Prather,3D - 5th,17.719,$360.00 ,
Carissa Miller,Hesperia,3D - 6th,17.722,$288.00 ,
Elysia Wilkinson,Simi valley,3D - 7th,17.732,$240.00 ,
Tawny Pamplin,Clovis,3D - 8th,17.745,$216.00 ,
Jessica Jones,Lakeside,3D - 9th,17.753,$192.00 ,
Lauren Nickeson,Bakersfield,3D - 10th,17.756,$168.00 ,
Russie Cline,Arroyo Grande ,3D - 11th,17.762,$144.00 ,
Tracey Green,Sheridan,3D - 12th,17.776,$129.00 ,
Zarina Szeflin,Bakersfield,3D - 13th,17.779,$115.00 ,
Shelley Holman,Brentwood,3D - 13th,17.779,$115.00 ,
Sam Carpenter,Grants Pass,3D - 15th,17.782,,
Jamie Jensen,Penngrove ,3D - 16th,17.791,,
Shealynn Day,Salinas,3D - 17th,17.792,,
Gina Samper,Coarsegold,3D - 18th,17.801,,
Enastele Colwell,San Diego,3D - 19th,17.81,,
Laura Zamora,Brentwood,3D - 19th,17.81,,
Tana Castro,Lakeside,3D - 21st,17.828,,
Lynn Novi,Lincoln,3D - 22nd,17.829,,
Brittany Gamble,Nipomo,3D - 23rd,17.833,,3D - 1st
Haley Longfield,Fernley,3D - 24th,17.835,,3D - 2nd
Tana Castro,Lakeside,3D - 25th,17.841,,3D - 3rd
Robin Cary,El Cajon,3D - 26th,17.842,,3D - 4th
Karen Raye,Bakersfield,3D - 27th,17.847,,
Cindy King,Hollister,3D - 28th,17.876,,
Kelsey Hayden,Hanford ,3D - 29th,17.886,,
Angelina Carrion,Esparto,3D - 30th,17.904,,
Frankie Clark,Terra Bella,3D - 31st,17.909,,
Cassie Cash,Montague,3D - 32nd,17.912,,
Christine Bennett,Acton ,3D - 33rd,17.921,,
David Lawson,Santa Rosa,3D - 34th,17.922,,
Corena Butler,Penngrove ,3D - 35th,17.926,,
Jennifer Jeude,Red Bluff,3D - 36th,17.928,,
Michelle Leblanc,Canyon Country,3D - 37th,17.934,,
Linda Smerber,CALIMESA,3D - 38th,17.937,,
Rosie Saabye,Valley Springs ,3D - 39th,17.946,,
Stephanie Kepler,Gardnerville ,3D - 40th,17.959,,
Alexa Karkula,Sanger,3D - 41st,17.962,,
Cammy Schneider,Clovis,3D - 42nd,17.976,,
Maggie Mann,Tehachapi,3D - 43rd,17.978,,
Wendy Sans,Paicines.  (Pie -C- Ness),3D - 44th,17.979,,
Travis Bridgman,Porterville ,3D - 45th,17.98,,
Jordan Vollmer,Springville,3D - 46th,17.986,,
Cassidy Pedreiro,Chowchilla,3D - 47th,18.013,,
Deja Vue,Elk grove,3D - 48th,18.015,,
Kinslee Hatcher,Prather,3D - 49th,18.023,,
Jennifer Smith,ACTON,3D - 50th,18.024,,
Teagan Quigley,Elk Grove ,3D - 50th,18.024,,
Audrianna Lemons,Arroyo Grande,3D - 52nd,18.027,,
Yolanda Dyer,Agua Dulce,3D - 53rd,18.032,,
Rachel Gill,Cottonwood,3D - 54th,18.034,,
Rylee Cooper-Christman,Alpine,3D - 55th,18.041,,
Missy Buchanan,Yucca valley,3D - 56th,18.047,,
Rayanne Currin,Clements,3D - 57th,18.062,,
Rosie Saabye,Valley Springs ,3D - 58th,18.068,,
Lexi Nancy,Cotati,3D - 59th,18.071,,
Aubree Stapp,Sanger,3D - 60th,18.084,,
Angela McWhirter,Palmdale,3D - 61st,18.09,,
Kieri Black,Nuevo,3D - 62nd,18.091,,
Lacey Robinson,Chowchilla,3D - 63rd,18.094,,
Robin B Lowe-Crowder,Chino,3D - 64th,18.096,,
Kathy Branco,Chowchilla,3D - 65th,18.106,,
Michelle Lang-Heredia,Moreno Valley,3D - 66th,18.109,,
Evelyn Sorrentino,Manchester,3D - 67th,18.122,,
Dreux Clark,King CIty,3D - 68th,18.125,,
Brooke Miller,Tollhouse,3D - 68th,18.125,,
Adalyn Johnson,LATON,3D - 70th,18.126,,
Taylor Murray,Moorpark,3D - 71st,18.135,,
Nataushia Morales,Denair,3D - 72nd,18.136,,
Rhonda Pensinger,Bakersfield,3D - 73rd,18.137,,
Krystle wolcott,Sheridan ,3D - 74th,18.139,,
Kendall Thompson,Simi Valley,3D - 75th,18.163,,
Merin Bender,Valley Springs ,3D - 76th,18.166,,
Isabella Pate,Ramona,3D - 77th,18.172,,
Jodi Saylor,Merced,3D - 78th,18.174,,
Sophie Deardorf,Oakdale,3D - 79th,18.189,,
Mishael McDougal,Woodlake,4D - 1st,18.204,$820.00 ,
Emilia Sibley,Sonora ,4D - 2nd,18.216,$691.00 ,
Tonya Hebert,Winlock,4D - 3rd,18.22,$604.00 ,
Alex Simpson,Clovis,4D - 4th,18.222,$378.00 ,
Jillian Nunes -Silva,Bakersfield ,4D - 4th,18.222,$378.00 ,
Jenny Sherbo,Acampo,4D - 6th,18.24,$259.00 ,
Leigh Little,Paso Robles ,4D - 7th,18.247,$216.00 ,
Ty Hathaway,Gerber,4D - 8th,18.252,$194.00 ,
Leisa Bingham,Fowler,4D - 9th,18.255,$173.00 ,
Kylee Gower,Apple Valley,4D - 10th,18.304,$151.00 ,
Jennifer Breiner,Middletown,4D - 11th,18.311,$129.00 ,
Shannon Lemons,Arroyo Grande,4D - 12th,18.314,$117.00 ,
Ellie Black,Lincoln,4D - 13th,18.336,$108.00 ,
Nicole Buck,Castroville ,4D - 14th,18.338,$99.00 ,
Treena Toth,Grants pass ,4D - 15th,18.344,,
Christina Bernal,Hemet,4D - 16th,18.351,,
Cathy Cooper,"Acton,",4D - 17th,18.352,,
Dakota Anderson,Porterville ,4D - 17th,18.352,,
Amanda Enzenauer,Woodlake,4D - 19th,18.355,,
Makayla Babiy,Apple Valley,4D - 20th,18.358,,
Jenna Virden,Murrieta ,4D - 21st,18.364,,
Gay Boyd,Descanso,4D - 22nd,18.381,,
Deven Warren,Porterville,4D - 23rd,18.399,,
Tiffany Neal,Ramona,4D - 24th,18.402,,
Sam Carpenter,Grants Pass,4D - 25th,18.416,,
Ashtyn Perry,Springville ,4D - 26th,18.432,,
Tammy Hoskins,San Juan Bautista,4D - 27th,18.46,,
Ashley Robertson,Sacramento,4D - 28th,18.464,,
Quinnley Robinson,Chowchilla ,4D - 29th,18.47,,
KCee Boneck,Lake City,4D - 30th,18.477,,
Heidi Boneck,Lake City ,4D - 31st,18.511,,4D - 1st
