age,gender,split,final
26,M,,8:31:57
30,M,,8:42:59
26,M,,8:47:33
26,M,,9:16:21
28,M,,9:16:51
32,M,,9:25:50
39,M,,9:28:21
26,M,,9:37:59
26,M,,9:50:07
31,M,,9:55:08
36,M,,9:55:49
30,F,,10:01:54
27,M,,10:04:02
29,M,,10:12:07
42,M,,10:12:36
30,M,,10:16:04
31,M,,10:18:02
48,M,,10:22:34
31,F,,10:24:50
36,M,,10:25:27
42,F,,10:27:41
36,F,,10:31:36
28,F,,10:31:52
26,M,,10:50:17
27,M,,10:51:53
21,M,,10:51:54
31,F,,10:53:20
35,F,,10:56:28
30,M,,10:59:47
35,M,,10:59:47
34,M,,11:03:06
24,M,,11:04:55
24,F,,11:04:55
33,M,,11:05:58
33,M,,11:05:59
36,F,,11:06:13
48,M,,11:06:39
40,M,,11:08:21
30,M,,11:10:02
30,M,,11:13:34
32,M,,11:23:14
41,M,,11:24:07
39,F,,11:26:34
33,F,,11:28:39
29,F,,11:31:32
31,M,,11:31:33
34,F,,11:36:29
36,M,,11:37:01
37,M,,11:39:45
45,M,,11:43:24
41,M,,11:43:54
24,M,,11:44:46
40,F,,11:48:05
34,F,,11:50:39
39,M,,11:53:00
39,M,,11:54:52
41,M,,11:56:02
39,F,,11:59:26
34,M,,11:59:41
48,M,,12:00:17
42,M,,12:00:18
50,M,,12:02:09
27,M,,12:03:17
32,M,,12:03:47
35,M,,12:03:58
32,F,,12:04:03
47,F,,12:04:21
32,M,,12:04:50
56,M,,12:04:59
37,M,,12:05:50
29,M,,12:07:29
37,M,,12:08:55
41,M,,12:11:58
30,M,,12:18:50
31,M,,12:20:24
45,M,,12:21:09
34,F,,12:21:15
33,M,,12:21:21
41,M,,12:21:57
46,M,,12:23:09
28,M,,12:29:38
44,M,,12:30:27
31,M,,12:31:58
42,M,,12:37:09
24,M,,12:37:12
37,M,,12:38:03
39,M,,12:39:24
32,M,,12:41:08
33,M,,12:41:08
42,M,,12:44:10
42,M,,12:45:49
39,M,,12:46:05
40,M,,12:46:18
23,F,,12:46:47
27,F,,12:49:45
48,M,,12:50:04
35,F,,12:50:53
