age,gender,split,final
64,F,,1:00:18
57,F,,1:00:51
30,F,,1:01:08
18,M,,16:58.1
17,M,,17:09.0
14,M,,17:39.8
43,M,,19:29.1
18,M,,20:04.6
16,M,,20:24.0
16,F,,20:45.2
29,M,,20:57.3
16,M,,21:01.0
42,M,,21:04.6
9,M,,21:46.3
14,M,,21:57.3
23,M,,21:57.5
14,M,,23:13.4
31,F,,23:17.5
39,M,,23:52.5
17,F,,23:54.0
50,M,,24:05.9
15,M,,24:16.0
19,M,,24:35.2
22,F,,24:38.9
40,M,,24:45.9
42,F,,25:25.0
34,M,,25:47.4
12,M,,25:49.1
48,M,,25:55.4
36,M,,26:01.0
41,F,,26:03.0
31,M,,26:08.2
55,M,,26:22.7
14,F,,26:32.1
27,M,,26:36.5
16,F,,28:13.9
43,M,,28:47.1
37,F,,30:48.7
22,F,,32:33.6
24,M,,32:33.7
47,M,,32:44.1
26,F,,33:06.9
7,M,,33:33.4
29,M,,33:37.7
37,M,,34:02.9
17,F,,35:30.1
63,M,,37:24.7
15,M,,38:19.5
14,M,,38:20.2
15,M,,38:27.5
9,M,,39:24.7
37,F,,39:27.4
40,F,,39:39.5
51,M,,39:39.7
20,M,,39:42.6
64,M,,43:43.1
73,F,,44:16.9
17,M,,45:15.3
29,F,,46:46.0
17,M,,47:01.0
38,F,,47:16.8
47,F,,47:25.1
42,F,,48:50.8
42,M,,48:50.9
50,M,,49:34.0
6,M,,50:37.2
33,F,,51:14.3
14,F,,51:17.4
15,M,,51:47.0
68,M,,53:11.4
42,M,,53:43.1
12,F,,54:13.7
14,F,,54:21.3
4,F,,54:43.5
35,F,,54:43.8
60,F,,54:52.9
61,F,,54:53.8
8,F,,55:47.6
9,F,,55:47.8
7,F,,55:48.1
13,F,,56:14.0
38,F,,56:14.2
