age,gender,split,final
21,M,,4:28
15,M,,4:32
17,M,,4:32
18,M,,4:34
16,M,,4:34
15,M,,4:36
20,M,,4:38
21,M,,4:43
28,M,,4:43
15,M,,4:44
17,M,,4:45
16,M,,4:47
17,M,,4:49
17,M,,4:51
17,M,,4:52
18,M,,4:52
16,M,,4:52
17,M,,4:53
42,M,,4:54
14,M,,4:54
17,M,,4:55
18,M,,4:56
41,M,,4:56
16,M,,4:57
19,M,,4:57
15,M,,4:57
17,M,,4:58
15,M,,5:00
15,M,,5:01
17,M,,5:05
21,M,,5:06
16,M,,5:07
29,M,,5:07
15,M,,5:07
17,M,,5:08
18,M,,5:08
15,M,,5:08
16,M,,5:10
15,M,,5:10
17,M,,5:13
14,M,,5:13
16,M,,5:13
17,M,,5:14
18,M,,5:15
17,M,,5:16
15,M,,5:16
15,M,,5:20
14,M,,5:21
45,M,,5:22
15,M,,5:22
15,M,,5:23
17,M,,5:27
14,M,,5:28
16,M,,5:28
41,M,,5:29
15,M,,5:29
40,M,,5:29
13,M,,5:30
46,M,,5:31
14,M,,5:31
36,M,,5:32
16,F,,5:32
47,M,,5:34
13,M,,5:35
16,M,,5:35
15,M,,5:35
38,M,,5:35
14,M,,5:37
14,M,,5:38
16,F,,5:38
16,F,,5:38
15,M,,5:39
14,F,,5:39
39,M,,5:40
15,F,,5:40
15,M,,5:41
16,F,,5:41
16,F,,5:43
37,M,,5:43
16,F,,5:44
14,M,,5:44
19,M,,5:45
14,M,,5:45
14,M,,5:48
16,F,,5:49
13,M,,5:49
17,F,,5:50
14,M,,5:50
13,M,,5:50
14,F,,5:50
40,F,,5:50
29,M,,5:51
12,M,,5:51
38,M,,5:52
44,M,,5:52
16,F,,5:53
16,F,,5:54
48,F,,5:54
21,M,,5:56
16,M,,5:56
14,F,,5:57
18,M,,5:58
15,F,,5:59
38,M,,5:59
41,M,,6:00
13,F,,6:00
15,F,,6:01
43,M,,6:01
16,F,,6:01
15,F,,6:04
39,F,,6:05
15,F,,6:06
43,M,,6:06
12,M,,6:06
12,M,,6:08
14,F,,6:08
11,M,,6:08
25,M,,6:09
16,F,,6:09
15,M,,6:09
16,F,,6:09
14,F,,6:09
16,F,,6:11
16,F,,6:11
13,M,,6:13
17,F,,6:13
14,F,,6:13
14,M,,6:14
15,F,,6:14
12,M,,6:14
11,M,,6:14
14,F,,6:15
15,M,,6:15
15,F,,6:15
11,M,,6:15
15,M,,6:16
14,M,,6:16
10,M,,6:17
14,M,,6:17
17,F,,6:19
15,M,,6:19
15,F,,6:20
50,M,,6:20
16,M,,6:22
52,M,,6:22
14,F,,6:22
42,F,,6:23
11,M,,6:24
16,F,,6:24
15,F,,6:24
30,F,,6:24
9,M,,6:25
11,M,,6:26
37,F,,6:26
50,M,,6:27
16,M,,6:27
28,M,,6:28
14,M,,6:28
16,F,,6:28
13,M,,6:28
54,M,,6:28
55,M,,6:29
66,M,,6:29
16,F,,6:30
13,M,,6:30
44,M,,6:30
13,F,,6:31
32,F,,6:32
53,M,,6:32
14,M,,6:33
15,F,,6:33
17,F,,6:34
15,F,,6:35
11,F,,6:35
27,F,,6:35
15,F,,6:35
12,M,,6:36
27,F,,6:36
17,F,,6:36
33,F,,6:36
44,M,,6:38
16,F,,6:38
15,F,,6:38
16,F,,6:38
17,F,,6:39
12,F,,6:39
13,M,,6:40
15,F,,6:41
55,M,,6:41
15,M,,6:41
53,M,,6:42
11,M,,6:42
13,F,,6:42
57,M,,6:43
35,M,,6:43
42,M,,6:43
15,M,,6:44
12,F,,6:44
45,M,,6:44
14,F,,6:44
16,F,,6:45
14,F,,6:46
12,F,,6:46
11,M,,6:47
11,M,,6:49
14,F,,6:49
11,M,,6:49
14,F,,6:49
39,M,,6:49
15,F,,6:50
11,F,,6:50
22,F,,6:51
12,F,,6:51
16,F,,6:51
14,F,,6:51
33,F,,6:51
59,M,,6:51
12,M,,6:52
52,M,,6:52
56,M,,6:52
14,F,,6:52
17,F,,6:54
15,F,,6:55
17,F,,6:56
14,F,,6:56
14,F,,6:56
36,M,,6:57
24,F,,6:58
11,M,,6:59
15,F,,6:59
17,F,,7:00
14,F,,7:00
9,M,,7:00
15,F,,7:00
13,F,,7:00
14,M,,7:01
42,F,,7:01
10,M,,7:01
8,M,,7:02
9,M,,7:02
12,F,,7:03
10,F,,7:04
62,M,,7:04
10,M,,7:04
66,M,,7:05
15,F,,7:06
8,M,,7:06
15,M,,7:07
18,F,,7:07
17,F,,7:07
16,F,,7:08
15,M,,7:08
14,F,,7:08
15,M,,7:08
14,M,,7:09
8,M,,7:09
54,M,,7:09
30,M,,7:10
57,M,,7:10
14,F,,7:11
14,F,,7:12
34,F,,7:12
