age,gender,split,final,
41,M,,7:00:00,
41,M,,8:54:24,
21,M,,10:41:48,
53,M,,10:46:23,
42,M,,11:26:44,
24,M,,11:30:50,
25,M,,11:45:03,
52,F,,11:49:45,
45,M,,11:52:21,
28,M,,11:58:49,
39,M,,12:10:38,
24,,,12:11:57,
35,M,,12:14:09,
35,M,,12:15:14,
34,M,,12:23:17,
33,M,,12:24:56,
24,M,,12:42:20,
51,M,,12:42:45,
53,M,,12:52:25,
46,M,,13:01:44,
39,M,,13:05:24,
50,M,,13:17:53,
31,F,,13:18:42,
41,M,,13:21:08,
41,M,,13:21:29,
34,M,,13:24:23,
48,M,,13:31:22,
38,M,,13:34:27,
45,M,,13:35:40,
27,F,,13:36:03,
50,M,,13:40:48,
33,M,,13:50:00,
45,M,,13:53:49,
41,M,,13:57:47,
60,M,,14:04:24,
44,M,,14:06:36,
53,F,,14:07:29,
52,M,,14:16:30,
50,M,,14:19:39,
31,M,,14:26:37,
49,M,,14:26:37,
51,M,,14:34:09,
43,M,,14:35:37,
23,M,,14:37:59,
44,M,,14:48:01,
30,M,,14:48:45,
59,M,,15:16:12,
57,M,,15:16:13,
44,M,,15:25:35,
36,M,,15:27:42,
33,M,,15:34:32,
35,F,,15:37:59,
35,M,,15:41:47,
30,M,,15:47:36,
34,F,,15:47:36,
41,M,,15:49:24,
39,M,,15:50:51,
42,M,,15:51:52,
48,M,,15:57:50,
50,M,,16:06:47,
69,F,,16:07:08,
37,F,,16:07:19,
43,M,,16:27:10,
44,F,,16:47:32,
47,M,,16:47:53,
49,M,,16:47:54,
35,M,,16:47:55,
47,M,,16:47:55,
40,M,,16:59:20,
57,M,,17:03:33,
37,M,,17:06:03,
34,M,,17:16:25,
46,M,,17:22:50,
43,M,,17:33:11,
44,M,,17:39:54,
56,M,,17:51:46,
42,F,,17:54:38,
51,F,,17:56:46,
38,F,,17:57:00,
50,F,,18:32:11,
41,F,,18:40:10,
46,F,,18:52:28,
42,M,,18:56:40,
44,F,,19:38:03,
71,M,,19:41:49,
52,M,,19:56:15,
24,F,,20:12:21,
45,F,,20:23:51,
50,F,,20:24:01,
58,M,,21:21:20,
44,F,,21:26:30,
70,M,,22:11:36,
47,F,,22:45:19,
50,M,,23:48:03,
56,M,,24:26:47,
49,M,,27:53:54,
44,F,,31:06:21,

