age,gender,split,final
30,M,,48:53.0
38,M,,56:02.1
48,M,,56:05.8
31,F,,57:23.3
38,M,,57:35.9
40,F,,57:40.1
60,F,,58:42.2
15,M,,58:45.1
39,F,,59:10.9
46,F,,1:00:39
31,M,,1:02:00
37,F,,1:03:41
40,M,,1:04:56
25,M,,1:05:01
58,F,,1:05:03
46,F,,1:05:23
24,F,,1:05:23
43,M,,1:06:53
66,M,,1:07:13
42,F,,1:08:36
35,F,,1:09:22
51,F,,1:10:15
41,F,,1:10:48
44,M,,1:10:48
43,F,,1:10:49
57,F,,1:11:14
36,F,,1:11:21
48,F,,1:12:18
40,F,,1:12:23
44,M,,1:13:26
30,F,,1:14:15
36,F,,1:14:16
48,F,,1:14:29
33,M,,1:14:32
27,F,,1:15:12
45,M,,1:15:33
16,F,,1:15:33
44,F,,1:17:07
33,F,,1:18:33
50,F,,1:18:40
38,F,,1:18:41
60,M,,1:19:33
49,F,,1:21:37
54,F,,1:23:37
47,F,,1:23:59
43,F,,1:24:16
42,F,,1:24:16
16,F,,1:25:32
49,F,,1:26:00
58,F,,1:29:40
31,M,,1:31:24
29,M,,1:31:25
31,F,,1:35:00
31,F,,1:42:18
31,M,,1:42:18
44,M,,1:46:56
43,F,,1:46:56
17,F,,2:04:58
22,M,,2:08:47
23,M,,3:01:19
17,F,,4:04:24
