age,gender,split,final
29,M,,1:24:37
34,M,,1:30:48
41,M,,1:36:41
38,M,,1:36:49
54,M,,1:38:56
41,M,,1:39:25
26,M,,1:44:19
53,F,,1:54:56
40,M,,1:55:46
25,M,,1:59:06
29,F,,1:59:25
53,M,,2:01:59
43,M,,2:02:02
55,M,,2:02:55
49,M,,2:03:02
36,F,,2:03:14
43,F,,2:03:17
41,M,,2:04:17
53,M,,2:04:27
38,M,,2:04:40
39,M,,2:05:01
39,M,,2:06:08
44,M,,2:08:40
39,F,,2:11:19
40,M,,2:15:39
48,F,,2:16:43
33,F,,2:17:40
39,M,,2:18:05
54,M,,2:21:46
43,M,,2:21:57
36,M,,2:23:27
49,M,,2:24:07
49,M,,2:24:18
38,M,,2:24:52
34,F,,2:24:52
36,F,,2:25:15
14,M,,2:27:36
44,F,,2:28:07
38,F,,2:28:55
50,F,,2:30:03
66,M,,2:34:14
47,M,,2:35:43
53,F,,2:36:36
45,F,,2:38:31
42,M,,2:41:45
65,F,,2:42:43
62,F,,2:44:24
62,M,,2:46:00
37,F,,2:46:09
58,F,,2:48:52
29,F,,2:50:06
38,F,,2:50:22
67,F,,2:51:21
18,F,,2:53:08
20,M,,2:53:08
68,M,,2:53:19
45,M,,2:55:20
64,M,,3:01:19
45,F,,3:03:29
34,F,,3:11:50
13,M,,3:13:57
46,M,,3:16:45
46,M,,3:16:45
68,M,,3:16:56
46,F,,3:26:02
49,F,,3:26:02
56,F,,3:39:45
65,F,,3:46:14
53,F,,3:51:24
64,F,,4:11:19
69,F,,4:20:46
72,F,,4:21:02
