age,gender,split,final
35,M,,1:32:52
38,F,,1:44:55
33,M,,1:48:31
34,M,,1:48:42
33,M,,1:49:57
31,M,,1:57:25
40,M,,1:57:30
24,M,,1:57:31
40,M,,1:58:36
51,M,,1:58:49
24,M,,2:01:34
39,F,,2:03:03
43,F,,2:03:18
49,M,,2:03:54
37,M,,2:04:24
48,M,,2:04:29
50,M,,2:04:55
59,M,,2:05:32
48,M,,2:06:15
28,M,,2:06:21
53,F,,2:07:00
46,M,,2:09:36
32,M,,2:11:24
56,M,,2:11:37
45,M,,2:11:41
39,M,,2:11:53
51,M,,2:12:12
35,M,,2:12:17
21,M,,2:13:17
40,F,,2:14:19
30,F,,2:15:00
40,M,,2:15:38
46,M,,2:17:13
31,M,,2:17:25
20,M,,2:20:20
34,M,,2:20:23
63,M,,2:20:46
47,M,,2:22:00
28,M,,2:22:20
27,M,,2:23:12
28,M,,2:23:21
48,M,,2:24:13
20,M,,2:25:18
57,M,,2:25:40
45,M,,2:26:00
35,M,,2:26:21
33,F,,2:26:47
46,F,,2:26:58
49,F,,2:26:58
44,F,,2:29:19
68,M,,2:29:39
21,M,,2:30:09
31,M,,2:32:54
57,M,,2:33:52
51,F,,2:34:18
27,M,,2:35:25
36,M,,2:36:47
34,M,,2:36:53
41,M,,2:37:15
42,M,,2:37:18
37,F,,2:39:35
55,M,,2:40:27
53,M,,2:41:07
33,F,,2:41:37
46,M,,2:42:09
43,M,,2:42:18
33,F,,2:44:39
41,F,,2:45:38
58,F,,2:46:17
44,M,,2:47:44
56,F,,2:48:50
43,M,,2:49:27
34,F,,2:49:46
41,M,,2:50:07
35,M,,2:52:05
50,F,,2:53:30
32,M,,2:53:47
39,F,,2:53:50
59,M,,2:55:27
49,M,,2:56:52
52,F,,2:57:14
31,F,,2:58:25
47,M,,2:58:31
50,F,,2:59:35
53,M,,3:01:53
44,F,,3:02:17
63,F,,3:02:35
44,F,,3:04:20
43,M,,3:04:34
54,M,,3:05:01
40,F,,3:05:22
51,M,,3:05:25
58,M,,3:07:01
39,M,,3:09:41
42,F,,3:09:42
28,M,,3:10:29
39,F,,3:10:30
52,F,,3:11:36
34,M,,3:12:06
26,F,,3:12:15
41,F,,3:12:17
31,M,,3:14:00
42,F,,3:15:14
37,M,,3:17:17
27,F,,3:17:25
31,M,,3:17:25
26,M,,3:19:55
61,M,,3:20:07
71,M,,3:21:00
46,F,,3:26:33
39,F,,3:27:14
34,F,,3:28:45
37,M,,3:29:47
23,M,,3:36:35
39,M,,3:36:36
59,M,,3:37:03
38,M,,3:37:03
69,M,,3:51:33
42,F,,3:56:01
30,M,,4:01:01
48,M,,4:04:18
38,M,,4:04:31
40,M,,4:09:22
32,M,,4:09:23
36,F,,4:10:18
44,M,,4:19:12
46,F,,4:52:15
