age,gender,split,final
30,M,,32:14.5
35,M,,33:02.6
42,M,,36:17.8
15,M,,39:45.8
22,M,,39:57.3
36,M,,40:09.1
37,M,,41:40.4
23,M,,41:46.3
46,M,,42:02.8
53,F,,42:12.6
16,M,,42:29.6
42,F,,42:40.5
18,M,,42:44.9
20,M,,43:25.9
43,M,,43:47.2
25,M,,43:49.5
29,M,,44:13.9
40,M,,44:32.1
26,M,,44:35.3
46,M,,44:36.6
54,M,,44:38.1
42,M,,44:50.0
42,F,,45:51.8
35,M,,45:58.7
12,M,,46:00.0
41,M,,46:06.6
51,F,,46:16.7
44,F,,46:25.5
26,F,,46:29.4
37,M,,46:35.5
50,M,,47:02.4
44,M,,47:04.7
38,M,,47:07.8
28,M,,47:16.4
48,F,,47:33.5
44,M,,47:48.1
15,M,,47:56.5
33,M,,47:59.5
26,F,,48:01.2
36,M,,48:07.1
54,M,,48:11.5
34,M,,48:12.2
28,M,,48:12.7
31,M,,48:14.0
34,F,,48:21.0
27,M,,48:22.8
31,M,,48:38.6
50,M,,48:42.2
37,M,,48:44.4
22,M,,48:47.2
46,F,,49:00.9
52,F,,49:08.3
28,F,,49:10.1
47,M,,49:10.8
53,M,,49:18.0
35,M,,49:20.3
58,M,,49:35.2
68,M,,49:36.9
27,M,,49:44.7
43,M,,49:52.5
14,M,,49:59.2
40,M,,50:04.8
28,M,,50:04.9
38,M,,50:05.8
27,M,,50:16.9
37,M,,50:17.8
36,M,,50:21.3
22,M,,50:23.0
36,M,,50:36.6
33,M,,50:38.1
40,M,,50:38.6
23,M,,50:38.6
44,F,,50:53.8
29,F,,51:13.4
41,M,,51:17.8
56,M,,51:18.4
48,M,,51:18.5
55,M,,51:20.8
30,F,,51:25.5
40,M,,51:32.8
26,F,,51:39.6
30,F,,51:41.3
30,M,,51:50.5
46,F,,51:50.6
51,F,,52:03.4
35,M,,52:04.7
40,M,,52:14.3
41,F,,52:21.0
32,M,,52:23.7
31,M,,52:37.0
32,M,,52:38.9
33,M,,52:39.4
59,M,,52:42.1
57,M,,52:44.9
35,M,,52:47.6
51,F,,52:52.7
46,M,,53:04.7
57,M,,53:07.4
39,M,,53:08.6
42,M,,53:12.7
66,M,,53:22.2
39,M,,53:23.3
36,M,,53:28.2
43,M,,53:30.0
40,M,,53:31.6
40,M,,53:33.6
47,M,,53:42.0
46,M,,53:44.0
39,M,,53:47.1
55,M,,53:47.5
31,M,,53:52.2
28,M,,54:09.3
35,F,,54:09.4
40,M,,54:14.5
31,F,,54:16.5
40,M,,54:20.8
39,M,,54:22.2
45,F,,54:22.6
40,F,,54:28.7
22,M,,54:32.7
41,F,,54:35.4
43,F,,54:37.0
25,M,,54:39.1
34,M,,54:52.0
36,F,,55:09.4
54,M,,55:14.6
43,M,,55:14.8
47,M,,55:21.6
37,M,,55:41.1
45,F,,55:46.9
13,M,,55:50.1
29,F,,55:56.3
44,M,,55:58.0
38,M,,55:58.7
13,M,,56:03.2
51,M,,56:04.1
48,F,,56:06.8
30,F,,56:12.2
40,F,,56:13.8
55,F,,56:14.5
49,M,,56:14.6
47,M,,56:18.1
20,M,,56:18.4
40,M,,56:18.6
46,F,,56:19.1
36,M,,56:20.0
46,F,,56:21.2
50,M,,56:21.2
44,M,,56:26.2
43,F,,56:27.6
32,M,,56:28.1
17,M,,56:29.9
42,M,,56:30.5
42,F,,56:32.9
35,F,,56:34.4
26,F,,56:36.3
41,M,,56:39.2
39,F,,56:39.4
43,M,,56:42.3
37,M,,56:43.0
28,M,,56:43.7
41,F,,56:44.9
31,F,,56:46.0
57,M,,56:50.4
29,F,,56:51.4
37,M,,56:53.0
52,M,,56:53.5
36,F,,56:54.4
33,F,,56:56.1
33,M,,56:57.8
27,M,,56:58.9
46,M,,57:02.1
51,F,,57:04.9
32,F,,57:13.6
50,M,,57:16.6
38,M,,57:18.9
28,F,,57:32.0
36,F,,57:33.0
22,F,,57:48.4
36,M,,57:49.3
51,M,,57:51.5
27,M,,57:55.7
57,F,,57:57.9
59,M,,58:03.8
42,F,,58:05.1
41,F,,58:08.4
48,M,,58:19.0
37,F,,58:20.7
47,M,,58:25.5
30,F,,58:28.5
62,F,,58:33.6
58,M,,58:39.3
50,F,,58:49.0
37,M,,58:49.9
30,M,,58:50.3
30,M,,58:50.7
39,M,,58:54.2
32,F,,58:54.7
25,M,,58:54.7
47,M,,59:00.8
52,M,,59:04.2
62,M,,59:05.2
20,M,,59:07.2
36,F,,59:07.6
35,F,,59:14.0
36,M,,59:14.3
37,F,,59:17.5
50,M,,59:20.7
44,M,,59:24.4
55,F,,59:24.9
58,M,,59:25.1
36,F,,59:25.3
26,F,,59:28.0
50,F,,59:32.7
46,M,,59:35.1
65,F,,59:36.3
48,M,,59:36.6
53,M,,59:38.6
45,M,,59:42.9
41,F,,59:55.7
25,M,,1:00:01
35,F,,1:00:10
32,F,,1:00:12
44,F,,1:00:16
58,M,,1:00:25
24,F,,1:00:31
58,F,,1:00:39
52,F,,1:00:40
61,M,,1:00:42
32,F,,1:00:42
32,M,,1:00:48
22,M,,1:00:48
35,F,,1:00:52
43,F,,1:01:05
43,F,,1:01:05
11,M,,1:01:10
44,M,,1:01:13
37,F,,1:01:23
42,F,,1:01:29
53,M,,1:01:30
27,F,,1:01:43
57,M,,1:01:45
41,M,,1:01:45
58,F,,1:01:48
43,M,,1:01:50
55,F,,1:01:50
58,F,,1:01:51
40,M,,1:01:56
42,M,,1:02:01
49,M,,1:02:08
41,M,,1:02:13
40,F,,1:02:13
39,M,,1:02:17
46,F,,1:02:18
57,F,,1:02:19
34,M,,1:02:19
35,F,,1:02:20
37,F,,1:02:24
49,F,,1:02:25
37,F,,1:02:25
20,M,,1:02:37
36,M,,1:02:38
