age,gender,split,final
26,M,,15:13:48
31,M,,15:47:27
29,M,,15:56:17
38,M,,15:57:10
30,M,,16:09:00
46,M,,16:20:02
38,M,,16:28:22
37,M,,16:28:34
27,M,,16:29:38
41,M,,16:35:23
31,M,,16:51:53
33,F,,17:21:30
35,M,,17:28:42
35,M,,17:34:19
41,F,,17:46:46
30,M,,17:56:22
32,F,,18:05:48
40,F,,18:08:32
27,F,,18:16:02
37,M,,18:30:12
31,F,,18:32:31
31,F,,18:46:42
40,F,,18:51:54
30,M,,18:52:20
42,M,,19:27:03
36,F,,19:30:26
30,F,,19:34:24
41,F,,19:38:44
45,M,,19:47:33
29,M,,19:49:07
41,M,,20:01:47
43,F,,20:18:27
37,M,,20:41:28
41,M,,20:43:53
40,M,,20:48:41
32,F,,20:57:56
40,M,,21:19:02
36,M,,21:33:02
30,F,,21:37:12
38,M,,21:37:25
30,M,,21:42:01
45,M,,21:53:22
38,M,,21:56:15
44,M,,21:57:44
31,M,,21:58:56
44,F,,22:05:01
36,F,,22:16:07
40,F,,22:21:55
44,M,,22:26:32
45,M,,22:31:39
39,M,,22:36:23
56,M,,22:38:58
39,M,,22:39:43
55,M,,22:39:46
43,M,,22:42:00
38,M,,22:42:14
51,M,,22:43:26
26,M,,22:48:51
33,M,,22:52:01
39,M,,23:00:38
49,M,,23:05:55
35,F,,23:06:09
33,M,,23:08:35
45,M,,23:10:05
45,M,,23:11:37
50,M,,23:13:25
36,M,,23:14:22
39,M,,23:14:57
44,M,,23:15:29
42,M,,23:15:43
29,M,,23:16:40
34,M,,23:17:35
39,M,,23:18:46
51,M,,23:19:17
49,M,,23:20:45
34,M,,23:24:01
31,M,,23:25:38
33,F,,23:25:55
40,M,,23:27:08
40,M,,23:27:38
37,M,,23:29:40
29,M,,23:30:18
44,M,,23:32:21
43,M,,23:32:34
40,F,,23:36:02
33,M,,23:37:47
33,M,,23:38:24
39,M,,23:38:32
41,M,,23:41:18
31,M,,23:42:39
42,M,,23:44:40
34,M,,23:44:49
56,M,,23:46:50
54,M,,23:49:57
44,M,,23:50:17
33,M,,23:50:28
46,M,,23:50:31
35,M,,23:51:34
49,M,,23:55:45
42,M,,23:56:03
44,M,,23:56:12
49,M,,24:22:15
61,F,,24:38:20
35,M,,24:39:01
41,M,,24:41:39
49,M,,24:42:36
45,M,,24:52:18
39,F,,24:55:14
47,M,,24:55:19
45,M,,25:02:08
57,M,,25:07:40
44,M,,25:14:30
35,F,,25:15:17
51,M,,25:17:28
41,M,,25:17:42
54,M,,25:22:44
42,M,,25:23:19
42,M,,25:23:46
37,M,,25:26:02
48,M,,25:29:15
46,M,,25:31:11
48,F,,25:31:48
44,M,,25:33:27
55,M,,25:44:28
50,M,,25:45:02
49,M,,25:50:21
36,F,,25:52:03
61,M,,25:52:27
36,M,,25:53:50
38,F,,25:53:56
31,F,,25:55:47
32,M,,25:56:07
54,M,,25:56:34
35,F,,25:59:17
38,F,,26:07:28
41,M,,26:08:01
36,M,,26:08:23
44,M,,26:12:28
61,M,,26:16:42
41,M,,26:20:35
44,M,,26:21:26
30,F,,26:26:33
38,M,,26:27:12
47,M,,26:27:50
41,M,,26:28:04
41,M,,26:28:21
41,M,,26:28:55
38,M,,26:28:58
44,F,,26:30:57
31,M,,26:31:27
47,M,,26:39:25
44,M,,26:41:41
37,M,,26:42:12
34,F,,26:46:18
49,M,,26:48:51
51,M,,26:52:36
42,M,,26:54:33
48,F,,26:58:13
41,M,,26:59:30
39,M,,27:00:29
35,F,,27:01:26
52,M,,27:04:43
30,M,,27:09:11
49,M,,27:10:34
49,M,,27:10:39
56,M,,27:13:16
50,F,,27:16:24
50,M,,27:23:38
58,F,,27:24:08
51,M,,27:28:15
48,M,,27:29:16
58,M,,27:30:25
30,F,,27:31:14
54,F,,27:33:17
52,M,,27:34:49
43,M,,27:35:13
51,M,,27:37:06
33,M,,27:39:05
43,M,,27:39:21
41,M,,27:40:55
42,M,,27:43:16
43,M,,27:52:59
42,M,,27:53:33
47,M,,27:53:44
50,F,,27:53:56
43,M,,27:55:30
45,F,,27:58:15
47,M,,28:02:34
45,M,,28:03:37
48,M,,28:04:44
45,M,,28:08:32
45,M,,28:10:16
47,M,,28:10:31
45,F,,28:12:59
57,M,,28:14:01
54,M,,28:14:42
54,M,,28:15:04
43,M,,28:15:58
38,M,,28:17:39
49,M,,28:19:40
36,M,,28:25:46
41,M,,28:26:43
47,F,,28:26:58
40,M,,28:30:00
38,F,,28:30:24
52,M,,28:32:38
47,M,,28:33:31
57,M,,28:40:45
48,F,,28:41:14
52,M,,28:42:41
52,F,,28:42:48
46,M,,28:43:40
49,M,,28:43:49
39,M,,28:44:26
39,M,,28:44:48
55,M,,28:45:22
48,M,,28:45:49
32,M,,28:46:16
43,M,,28:47:32
50,M,,28:48:04
46,M,,28:49:36
52,M,,28:53:37
50,F,,28:55:45
41,M,,28:56:11
36,F,,28:56:44
42,M,,28:57:32
43,M,,29:00:59
41,M,,29:02:03
50,M,,29:02:55
51,M,,29:03:16
44,F,,29:04:02
36,F,,29:04:04
45,F,,29:04:44
43,M,,29:05:06
46,M,,29:05:50
44,M,,29:06:27
44,M,,29:07:33
34,M,,29:08:00
36,M,,29:09:47
52,M,,29:12:38
39,M,,29:12:44
62,M,,29:12:51
47,M,,29:13:48
43,F,,29:14:07
47,M,,29:14:34
49,M,,29:14:40
44,M,,29:15:06
48,F,,29:16:44
60,M,,29:16:46
56,M,,29:16:51
50,M,,29:17:21
43,M,,29:17:22
53,M,,29:17:29
60,M,,29:18:32
57,M,,29:19:08
53,M,,29:20:16
46,F,,29:21:53
62,M,,29:22:11
45,M,,29:22:18
36,F,,29:22:42
40,F,,29:23:41
55,M,,29:23:48
42,M,,29:23:53
42,M,,29:24:00
44,M,,29:25:07
38,F,,29:25:27
57,M,,29:25:40
61,M,,29:29:38
54,M,,29:30:27
37,M,,29:31:12
63,M,,29:32:06
41,M,,29:32:57
32,F,,29:33:28
40,M,,29:34:01
54,M,,29:34:08
61,M,,29:34:08
39,F,,29:34:54
51,F,,29:35:10
60,F,,29:35:46
51,M,,29:35:48
44,F,,29:35:48
44,M,,29:36:26
54,M,,29:36:59
39,M,,29:37:22
47,F,,29:38:17
54,M,,29:39:28
45,F,,29:42:48
37,F,,29:43:02
45,M,,29:43:16
41,M,,29:47:38
53,F,,29:48:17
62,M,,29:48:25
61,M,,29:49:23
46,M,,29:49:29
54,M,,29:50:28
51,F,,29:50:39
46,F,,29:51:02
45,F,,29:51:07
37,M,,29:52:39
34,M,,29:52:52
48,M,,29:53:11
47,M,,29:53:35
45,M,,29:54:04
57,F,,29:55:31
50,M,,29:55:48
