age,gender,split,final
34,Male,,27:16
32,Male,,27:18
29,Male,,27:19
23,Male,,27:19
19,Male,,27:20
27,Male,,27:20
25,Male,,27:37
31,Male,,27:39
27,Male,,27:48
33,Male,,28:58
31,Male,,29:17
25,Male,,29:34
22,Male,,29:36
28,Male,,29:38
20,Male,,29:41
35,Male,,29:56
36,Male,,30:00
23,Male,,30:01
26,Male,,30:06
18,Male,,30:14
24,Male,,30:15
45,Male,,30:21
28,Male,,30:22
31,Female,,30:29
37,Male,,30:33
21,Male,,30:48
27,Male,,30:52
20,Male,,30:53
27,Male,,30:57
27,Female,,31:02
35,Male,,31:04
26,Male,,31:05
21,Male,,31:10
19,Male,,31:11
31,Male,,31:12
17,Male,,31:13
22,Male,,31:14
32,Male,,31:15
25,Male,,31:16
18,Male,,31:18
28,Male,,31:20
43,Male,,31:21
18,Male,,31:23
23,Male,,31:24
19,Male,,31:24
30,Female,,31:27
31,Male,,31:28
15,Male,,31:30
30,Female,,31:33
24,Male,,31:33
32,Male,,31:33
15,Male,,31:34
37,Male,,31:36
18,Male,,31:37
34,Male,,31:38
20,Male,,31:39
34,Male,,31:41
29,Male,,31:44
19,Male,,31:46
35,Male,,31:47
31,Male,,31:48
20,Male,,31:53
23,Male,,31:57
37,Male,,32:02
19,Male,,32:02
30,Male,,32:12
36,Male,,32:14
23,Male,,32:17
32,Male,,32:18
17,Male,,32:18
21,Male,,32:20
34,Male,,32:20
30,Male,,32:20
23,Male,,32:22
25,Male,,32:22
25,Male,,32:24
29,Male,,32:28
18,Male,,32:31
32,Male,,32:33
44,Male,,32:35
25,Male,,32:36
23,Male,,32:39
22,Male,,32:46
25,Male,,32:50
25,Male,,32:50
18,Male,,32:51
23,Male,,32:52
52,Male,,32:52
16,Male,,32:53
18,Male,,32:54
24,Male,,32:55
26,Female,,32:58
41,Male,,32:59
35,Male,,32:59
37,Male,,33:04
38,Male,,33:06
27,Male,,33:09
20,Male,,33:09
24,Male,,33:10
32,Male,,33:12
24,Male,,33:14
22,Male,,33:15
31,Male,,33:22
49,Male,,33:26
24,Male,,33:30
35,Male,,33:30
22,Female,,33:32
28,Male,,33:36
16,Male,,33:37
34,Male,,33:38
30,Male,,33:41
53,Male,,33:43
29,Male,,33:48
29,Male,,33:53
34,Male,,33:55
17,Male,,33:57
27,Female,,33:59
31,Male,,33:59
32,Male,,34:00
24,Male,,34:03
40,Male,,34:05
44,Male,,34:07
29,Male,,34:10
16,Male,,34:12
24,Male,,34:14
26,Male,,34:14
47,Male,,34:15
26,Male,,34:16
42,Male,,34:16
28,Male,,34:18
30,Female,,34:20
24,Male,,34:22
55,Male,,34:23
41,Male,,34:24
17,Male,,34:24
35,Male,,34:25
39,Female,,34:26
20,Male,,34:27
26,Male,,34:29
40,Male,,34:30
33,Female,,34:30
31,Male,,34:31
24,Male,,34:34
25,Male,,34:34
23,Male,,34:36
29,Female,,34:45
22,Male,,34:46
26,Female,,34:49
31,Male,,34:51
34,Male,,34:52
23,Male,,34:53
31,Male,,34:56
32,Male,,34:57
37,Male,,34:59
39,Male,,35:00
18,Male,,35:00
15,Male,,35:01
24,Male,,35:05
28,Male,,35:05
37,Male,,35:10
22,Male,,35:12
17,Male,,35:12
42,Male,,35:12
31,Female,,35:13
18,Male,,35:15
31,Female,,35:16
